"","D1.SW.BLANK","D1.TANKA.SPONGE.CREAM","D1.TANKA.SPONGE.PINK","D1.TANKA.WATER","D1.TANKB.SPONGE.CREAM","D1.TANKB.SPONGE.PINK","D1.TANKC.SPONGE.BLACK","D1.TANKC.SPONGE.CREAM","D1.TANKC.SPONGE.PINK","D2.FILT.BLANK","D2.SPONGE.CONTROL","D2.SW.BLANK","D2.TANKA.FISH.SPONGE.CREAM","D2.TANKA.FISH.WATER","D2.TANKB.FISH.SPONGE.CREAM","D2.TANKB.FISH.SPONGE.PINK","D2.TANKB.FISH.WATER","D2.TANKC.FISH.SPONGE.CREAM","D2.TANKC.FISH.SPONGE.PINK","D2.TANKC.FISH.WATER","D3.SW.BLANK","D3.TANKA.00H.SPONGE.CREAM","D3.TANKA.00H.SPONGE.PINK","D3.TANKA.00H.WATER","D3.TANKA.04H.SPONGE.CREAM","D3.TANKA.04H.SPONGE.PINK","D3.TANKA.04H.WATER","D3.TANKA.08H.SPONGE.CREAM","D3.TANKA.08H.SPONGE.PINK","D3.TANKA.08H.WATER","D3.TANKB.00H.SPONGE.BLACK","D3.TANKB.00H.SPONGE.CREAM","D3.TANKB.00H.SPONGE.PINK","D3.TANKB.00H.WATER","D3.TANKB.04H.SPONGE.CREAM","D3.TANKB.04H.SPONGE.PINK","D3.TANKB.04H.WATER","D3.TANKB.08H.SPONGE.CREAM","D3.TANKB.08H.SPONGE.PINK","D3.TANKB.08H.WATER","D3.TANKC.00H.SPONGE.CREAM","D3.TANKC.00H.SPONGE.PINK","D3.TANKC.00H.WATER","D3.TANKC.04H.SPONGE.CREAM","D3.TANKC.04H.WATER","D3.TANKC.08H.SPONGE.CREAM","D3.TANKC.08H.SPONGE.PINK","D4.FILT.BLANK","D4.SPONGE.CONTROL","D4.TANKA.24H.SPONGE.CREAM","D4.TANKA.24H.SPONGE.PINK","D4.TANKA.24H.WATER","D4.TANKB.24H.SPONGE.CREAM","D4.TANKB.24H.SPONGE.PINK","D4.TANKB.24H.WATER","D4.TANKC.24H.SPONGE.CREAM","D4.TANKC.24H.SPONGE.PINK","D5.FILT.BLANK","D5.SW.BLANK","D5.TANKA.48H.SPONGE.CREAM","D5.TANKA.48H.SPONGE.PINK","D5.TANKA.48H.WATER","D5.TANKB.48H.SPONGE.CREAM","D5.TANKB.48H.SPONGE.PINK","D5.TANKB.48H.WATER","D5.TANKC.48H.SPONGE.CREAM","D5.TANKC.48H.SPONGE.PINK","D5.TANKC.48H.WATER","D6.SPONGE.CONTROL","D6.SW.BLANK","D6.TANKA.72H.SPONGE.CREAM","D6.TANKA.72H.SPONGE.PINK","D6.TANKA.72H.WATER","D6.TANKB.72H.SPONGE.CREAM","D6.TANKB.72H.SPONGE.PINK","D6.TANKB.72H.WATER","D6.TANKC.72H.SPONGE.CREAM","D6.TANKC.72H.SPONGE.PINK","D6.TANKC.72H.WATER","EXT.BLANK.20201105","EXT.BLANK.20201106","EXT.BLANK.20210607","EXT.BLANK.20210608","EXT.BLANK.20210609","LIB01.PCR.Neg.02","LIB01.PCR.Pos.02","LIB02.PCR.Pos.01","LIB02.PCR.Pos.02","LIB02.PCR.Pos.03"
"Homo_sapiens",0,3,1,0,0,1,0,1,4835,0,0,277,5,277,0,4,1,1,2,2,0,98,905,3687,4989,0,0,1494,3770,0,0,4,2326,8225,1,0,0,7699,7132,0,430,2097,850,2,0,1,746,1043,61,2008,2,3,0,0,0,0,20193,5691,510,0,66,552,4,167,0,78,8144,5,1762,687,196,4212,981,1,2,1,2,4225,0,1169,1691,8437,351,0,0,0,13,14,0
"Odonus_niger",0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amphiprion_ocellaris",0,2,1,0,0,0,1,3,1,0,0,0,1,1032,1198,3,11711,1869,5868,4536,1,643,4706,8472,11642,462,5998,99,8357,7,1,19,1,1954,2630,0,2,1,901,3,1652,714,1681,2,116,0,3130,1,0,3248,980,3527,1,0,0,1,0,3,3,0,175,0,0,3094,2,1,0,16,1,0,0,0,0,0,0,0,1,1,0,0,8,1,0,0,0,0,6,7,0
"Pangasianodon_hypophthalmus",0,0,2,0,2,0,2,3,4,0,1,0,0,0,2,7,0,9,3,0,0,3,5,0,6,0,0,0,10,0,0,11,3,0,3,0,0,1,5,0,2,3,0,5,0,1,6,0,0,6,0,0,1,2,0,0,5,0,0,0,1,0,0,6,0,0,12,1,1,0,3,0,0,2,2,0,1,5,0,0,0,5,0,0,66,11,76970,89626,335
"Brevoortia_tyrannus",0,0,0,0,0,0,0,0,3973,0,0,0,0,3,1,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1513,0,253,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,466,1,1,0,0,0,0,0,0,0,0,0,0,1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
"Siganus_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
"f_Phasianidaesp",3,0,2647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mallotus_villosus",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7251,0,1,0,0,333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,4,0
"Hippocampus_semispinosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26,1,0,0,3780,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Halichoeres_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pomadasys_sp",4,0,5313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11817,0,0,0,0,1,0,1,0,0,146,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,735,0,0,30,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0
"Gramma_loreto",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12313,0,1,1,0,0,0,0,1,0,0,0,0,0,0,9298,0,7807,2424,0,0,1055,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"f_Astropectinidaesp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000001542",0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,236,0,0,9,0,0,0,0,0,0,0,0,0,185,0,0,0,2,0,0,0,0,0,15,0,0,4,0,0,0,0,401,0,0,0,14,0,0,25,0,0,0,0,0,0,0,0,0,17,0,0,58,0,0,0,0,7,0,0,96,0,0,127,0,0,0,0,0,0,0,0,0,0,0
"tank_000001748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000001066",0,83,0,0,0,0,0,146,0,0,0,0,285,0,0,0,1,173,0,0,0,0,0,0,13,0,0,41,0,0,0,0,0,0,0,0,0,0,0,1,759,0,0,122,0,40,0,0,0,1,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000001002",0,223,0,0,3825,0,1,3089,0,3,0,0,240,0,1091,0,3,1468,0,0,0,312,0,0,838,0,0,139,0,0,0,13,0,0,2958,0,1,1285,0,2,3317,0,0,646,0,141,0,0,0,2605,0,0,1964,0,0,129,0,0,3,0,0,0,1,1,0,82,1,3,0,0,51,0,0,237,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0
"tank_000000016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000002859",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000001700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000001578",0,0,0,0,0,0,0,120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000001074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,1,0,201,0,17,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000002292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000001798",0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000001731",0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000001484",0,269,0,1,609,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000001733",0,0,0,0,117,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000001772",0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000000560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000002220",0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000002351",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000001579",0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000002155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000002295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000002690",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000002766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000001548",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5275,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"tank_000001558",0,66,0,0,424,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000002422",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000001524",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,231,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000002366",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000002797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000000996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000002439",0,31,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000001623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,31,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000001099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000000642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000001667",0,561,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000001576",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000000511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000001651",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000000013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3152,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tank_000000175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chromis_viridis",0,0,0,0,0,0,0,0,1,0,0,1,0,202,187,1333,2490,1094,5,19,0,10,33,185,0,0,1174,77,0,0,0,2,1099,768,0,7,0,0,0,0,6,5,113,0,0,0,959,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zebrasoma_veliferum",0,1,1,0,1,0,0,0,4862,0,0,0,3,5668,0,9408,5,799,0,0,0,444,1621,8477,3653,182,12,1085,5916,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,3,0,7287,0,0,0,0,0,0,0,0,0,7,57,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,10,0
